review_id,title_translated,content_translated
8670d52e15e00043ae7de4c01cc2fe06,I recommend,efficient device. on the website the brand of the device is printed as 3disinfector and when it arrives it has another name...update with the correct brand since it is the same device
3948b09f7c818e2d86c9a546758b2335,highly recommend,"Reliable seller, ok product and delivery on time."
373cbeecea8286a2b66c97b1b157ec46,My product did not arrive,Terrible
d21bbc789670eab777d27372ab9094cc,Excellent,store note 10
c92cdd7dd544a01aa35137f901669cdf,Very good.,"I received exactly what I expected. Other orders from other sellers were late, but this one arrived on time."
08c9d79ec0eba1d252e3f52f14b8e6a9,Good,"I recommend ,"
b193ff3c9f32a01f3a0d9ae26b94d244,Wonderful!,"I'm completely in love, super responsible and reliable store!"
86c5cfa7fcbde303f704b60a78ced7d6,perfect delivery,Very good. very fragrant.
500c05500aa275953129f49799ee5c73,Very beautiful,Very beautiful
109b5ce2dd11bb8460eff3b86da6fefc,Great Product!,I recommend the seller...
c45811d9f90e22a81155b3a1e4a5c2e8,ALWAYS RECOMMEND!!,The dog patrol backpack kit is beautiful!! My grandson will love it!! Thanks!!
50a1eaa2f96d6f3e02d0cd68d92bab75,***** I recommend,Super fast.
1692078634b63c7f25aa90ee746ec498,EXCELLENT,OK I RECOMMEND
46d8249ea59101c7288936c3e6f155d7,delivery was late,The delivery was split in two. There was no communication from the store. I thought they only sent part of the product.
79927442ebcbf70b2021e1339bb9a51b,very good,I liked the attention with the delivery
14613df954694f243dedeaa2c8a3a5c2,4,"If it was glass it would have broken; came in the box without any protection inside, the box was very crumpled. Sorry.. but I like to buy from you
."
5f938e5f5f2e9a75710b54feeb9ea610,Average,The part didn't fit
0c9b6ca9b3beaf0fd5d621f63844ea01,delivery time,"I'm hoping to get it this week, which wouldn't be too extravagant, but...any more delay than that would make me drop out of the baratheon."
59d95e0b5b52d038dc3a022b7c912969,super product,Very good high quality!
c40a6b6e0181e5ec0d12cbc2e12c49d3,product shortage and breakage,Missing 1 product and the ones I received 1 came broken
5241fcad10d7b45a1761f1e1e1536faa,highly recommend,"Arrived on time and the product is of excellent quality! My back pain is gone, I'm sleeping very well!"
06f47dacd0575e592bf6a17e922ce6cd,not yet received,here it is describing it as delivered but until now I have not received it
4656b8ed41c17f6be05e911e211ecd8f,I recommend,I started using it now
6b341682ab39af9fa00d72d7388c903b,Note3,Buy a correct product on the cover but inside be another.???????
557ae9c16a8ea3909db2fc5a01bc5151,Thriller,I placed an order for 4 bottles of olive oil. 2 arrived in one day and the other 2 almost 48 hours later.
7914fa319f12631679d1704d7dcd17df,Top,I recommend
3528296df9092b7a7b88bd036e3f8a8e,show product,highly recommend professional quality product
c7475b2c4448321756b6136327f1394e,I highly recommend,very good and fast when I saw it had already arrived
65b934c20d632fc2df0fd4723464fa78,Mistake in the speaker,"Despite being delivered quickly, they replaced the METEORO box with the BORNE box. When I tried to complain to Lannister, the system was down. The guitar and accessories were correct."
8023f946d9b261cb0ecb604703427917,Great buy,"Delivered on time, and with good shelf life."
f7eb8792e67d53e01a224bfa9b6802b2,Horrible,"They canceled my purchase the day before delivery, I called Lannister and the attendants didn't know what was going on, a mess, now I'm waiting to see if I will be charged"
4940d39efaa50e020312724f6a6e5efa,highly recommend,Quality product and efficient delivery. I received much earlier than agreed. I recommend
7bd303edd3865abe8addb98d2a2e6577,Very good.,Good product came on time arrived in 08 days are to be congratulated.
3fb929ba2924ff0a47858efb007ceee1,excellent,fast delivery
382d855ffdd4f5e66594dbfb1566e96f,Failed to translate,Every time I buy more I'm satisfied congratulations on the honesty with your customers 👏👏👏👏?
6aba6ff5d6b3f6762a2ad9a9f1fbdfcf,I recommend,Everything is fast and efficient.
8f9aa50ee40780ba3f79614530a34ebe,Very good,Wonderful cream and super fast delivery
b396ba75350276a6cc1993b6627dceea,Regrettable...,"Goodnight

It's unfortunate, this store I've already made so many purchases from and today I'm not even satisfied with a watch worth 50.00 reais... a defective product and so far I haven't received a response"
f3401a1de0c152923ba58cf7b7d2b84a,Bad quality!,"The protective cover is not exactly what I expected, it leaves something to be desired in terms of material and quality."
ef9ef383ff6625e8e118db388ad3420d,Dissatisfied,On the website the product seems to have better quality of material and finish.
5d6f9cddc8335878d8bf20c3bd4602e8,I highly recommend,"I received my product correctly and on time, checking the box that everything is correct, but I haven't assembled it yet. Beautiful product, perfect color, we love it.
SUPER RECOMMEND."
3a336941a21a96535c9b70e3d28be499,EXCELLENT PRODUCT,Congratulations. Product delivered well before the deadline. It met my needs.
8a310b56e4d05a7786d23986a1a49ae9,I recommend,"The order arrived earlier than agreed, very good."
5c1ba09de5c746017d406bd2cfefeca3,no product delivery,receive only 01 piece of the product! I need the remaining 2 pieces!
d6c0b888949f0c3f236d67f588913930,I recommend,I work with the professionalism of Lannister stores. I definitely recommend
949127f36b466d3e93a6f3688062cd77,Presys Blend Pickup,Everything is OK!
320ae91d4c5cb8164c168fc68392a5fb,Pirate product!,"When I installed the ink cartridge, my printer indicated that it was empty, and displayed the error message ""!"" above the ink level marker. I already requested the exchange."
6d7d0a5e33c92adf782b137720eeefa6,weak product,"As for the site, I have nothing to question! they always super fulfill the agreement ... I always recommend! but the product is weak.."
f922b9d00a755863556181c1a366193d,Note 8,"I was happy with. The fabric, but I think the top sheet was missing to be complete, I hope they launch it soon."
032cfb72d792d30b6181b482d85f8d1a,All very well!,"The purchase went as expected, from ordering to receiving the product. Alright alright."
380884f53f113319198a99516da2ada4,I recommend,excellent
f74dd1cc5d081bff126d062eec26f695,Excellent,Everything as advertised....Great product...
3f71ee62eb5acdc9b5121f6d99901583,perfect!!,Very satisfied.
668aad714767396c2b7d949a27913bb7,lol pet,Great product but too expensive!!!
30a4f0f115950517b46d48046b609bd1,Great,I had an excellent after sales service through Mr Renato
0a9d200bdef258e70eb48398e1287d6d,Failed to translate,Very good
19910e37f2130c56f553edfbdc0c65fb,Great cost x benefit,Product arrived on time. Came as described and is excellent.
4fa8392da03c452f77faa3f2952fa346,Good,Really good!
c1f198cdce8b992a9cddc3aaba11e689,Great product and delivery,"Despite the delay in issuing the invoice, after dispatch the delivery was fast and the product came well packaged. I recommend."
edd86e0af4dc62b340c60d846643cbf9,OK PRODUCT,"deadline was extended, but delivered within the period disclosed in the advertisement. Chair as pictured, comes ready to assemble, easier and more beautiful"
5b6a0d5350fe3036f41d543d06eb7a5b,Great,"Simply gorgeous!!
I loved the product!!
Perfect size!!
I've already bought several products, I've been buying at baratheon for years !!"
7dd163fe175817e9e57f965a4382ecab,I recommend it to everyone.,Good bargain.
9e96e374304db42a8aecd4a97d53cc1b,highly recommended,I am fully satisfied with my purchase. And I recommend it. The only thing I don't agree with is the shipping cost. Selfish.
21d7fa60f781a98de43940c2573d07ee,highly recommend,Perfect delivery and product!
12f226601192062b644b158e0af9e723,Super satisfied.,"Perfect product, fast delivery. I'm delighted. 👏🏽"
83f2d758c5e31f14e3d8ce9bff55780e,highly recommend,"As always, excellent service."
56f8b1f478a87c6604588ad148e61ca8,The product is very good,"Very good product, better than expected and was delivered on time, I really liked it."
c68c027ea1d9979f147099c68efd93e6,Failed to translate,"I liked it a lot, the object came the same as I bought it, I already bought it in other stores and another color came ñ I liked it! With Lannister everything ok."
bde05133984518116b3d77d994e375d3,incorrect product,The product is not in the correct measurements indicated in the offer. I will have to call you for exchange
cf8b4347ae76e6b7992a8c63f3d51774,excellent,everything ok delivery on time great.
f54fd311f6fd8cd1b4affd14bdaf04ce,I liked,Great perfume. Wonderful fragrance. I recommend
7c38b0697f3d800e6314b76b382a9f7e,platform pedalboard,The product exceeded my expectation. The delivery time was anticipated by 7 days. I already installed it and it was a show.
f99ff17e430a53efe61d359faa3b425e,DEFECTIVE PRODUCT,REQUESTED A REFUND. DEFECTIVE PRODUCT
169f34e00e26eea55ba60c7b19170e66,Regular,Store itself is good pity the Americana does not provide customer support
11d080870bba1f6ee139bd07dc192d2e,Good,I think the product should have a longer shelf life.
9a2056d86f12c153d8fbc8d9005e6ac8,Delivery before deadline.,"Fast delivery, I recommend this store."
7a845d0d61a2195360d6856d4f0bbaa8,highly recommend,"I really appreciate it, because I received the correct product as found on the website, the delivery was super fast. I was very pleased and will definitely recommend to friends."
73c3dcf098d78d2bdd96f22aff4f15ef,very good,good
